Gentiana pneumonanthe.jpg | Debnicko-Tyniecki obszar lakowy | Gentiana pneumonanthe | Erigeron ramosus | Anthyllis vulneraria | Stellaria palustris | Cichorium intybus
Acer platanoides.jpg | Debnicko-Tyniecki obszar lakowy | Acer platanoides | Arrhenatherum elatius | Carex davalliana | Ranunculus acris | Glyceria fluitans
Acer negundo.jpg | Debnicko-Tyniecki obszar lakowy | Acer negundo | Rorippa amphibia | Trifolium repens | Orobanche purpurea | Salix caprea
Acer pseudoplatanus.jpg | Debnicko-Tyniecki obszar lakowy | Acer pseudoplatanus | Campanula rapunculoides | Lolium perenne | Salix aurita | Symphytum officinale
Fraxinus excelsior.jpg | Debnicko-Tyniecki obszar lakowy | Fraxinus excelsior | Salvia verticillata | Iris sibirica | Carex flava | Lemna minor
Humulus lupulus.jpg | Debnicko-Tyniecki obszar lakowy | Humulus lupulus | Salix fragilis | Pimpinella major | Blysmus compressus | Anthoxanthum odoratum
Urtica dioica.jpg | Debnicko-Tyniecki obszar lakowy | Urtica dioica | Salvia verticillata | Sagina nodosa | Geranium pusillum | Acorus calamus
Rumex obtusifolius.jpg | Debnicko-Tyniecki obszar lakowy | Rumex obtusifolius | Picea abies | Geum urbanum | Taraxacum officinale | Geum rivale
Rumex hydrolapathum.jpg | Debnicko-Tyniecki obszar lakowy | Rumex hydrolapathum | Molinia caerulea | Cirsium rivulare | Typha latifolia | Juncus conglomeratus
Rumex crispus.jpg | Debnicko-Tyniecki obszar lakowy | Rumex crispus | Leontodon hispidus | Leonurus cardiaca | Juncus articulatus | Luzula campestris
Rumex acetosella.jpg | Debnicko-Tyniecki obszar lakowy | Rumex acetosella | Potentilla erecta | Lythrum salicaria | Vaccinium myrtillus | Spergula arvensis
Polygonum aviculare.jpg | Debnicko-Tyniecki obszar lakowy | Polygonum aviculare | Comarum palustre | Cirsium palustre | Iris sibirica | Euphorbia helioscopia
Chenopodium album.jpg | Debnicko-Tyniecki obszar lakowy | Chenopodium album | Juncus articulatus | Betula pendula | Melampyrum arvense | Geranium pusillum
Chenopodium strictum.jpg | Debnicko-Tyniecki obszar lakowy | Chenopodium strictum | Salix fragilis | Carex panicea | Lysimachia vulgaris | Ranunculus acris
Atriplex patula.jpg | Debnicko-Tyniecki obszar lakowy | Atriplex patula | Euphorbia esula | Ononis arvensis | Centaurea scabiosa | Gladiolus imbricatus
Dianthus carthusianorum.jpg | Debnicko-Tyniecki obszar lakowy | Dianthus carthusianorum | Lycopus europaeus | Calluna vulgaris | Convolvulus arvensis | Cichorium intybus
Saponaria officinalis.jpg | Debnicko-Tyniecki obszar lakowy | Saponaria officinalis | Cardamine pratensis | Gnaphalium uliginosum | Poa palustris | Valeriana officinalis
Arenaria serpyllifolia.jpg | Debnicko-Tyniecki obszar lakowy | Arenaria serpyllifolia | Lolium perenne | Galeopsis tetrahit | Humulus lupulus | Veronica arvensis
Stellaria media.jpg | Debnicko-Tyniecki obszar lakowy | Stellaria media | Carex pseudocyperus | Sanguisorba officinalis | Luzula multiflora | Carex paniculata
Stellaria palustris.jpg | Debnicko-Tyniecki obszar lakowy | Stellaria palustris | Geranium pratense | Eriophorum vaginatum | Pinus sylvestris | Salix cinerea
Stellaria graminea.jpg | Debnicko-Tyniecki obszar lakowy | Stellaria graminea | Salix cinerea | Poa trivialis | Salix viminalis | Bellis perennis
Cerastium arvense.jpg | Debnicko-Tyniecki obszar lakowy | Cerastium arvense | Tussilago farfara | Lotus corniculatus | Trifolium arvense | Mentha arvensis
Sagina nodosa.jpg | Debnicko-Tyniecki obszar lakowy | Sagina nodosa | Urtica dioica | Plantago major | Gagea pratensis | Erigeron canadensis
Spergula arvensis.jpg | Debnicko-Tyniecki obszar lakowy | Spergula arvensis | Salix pentandra | Pinguicula vulgaris | Pinus sylvestris | Valeriana simplicifolia
Illecebrum verticillatum.jpg | Debnicko-Tyniecki obszar lakowy | Illecebrum verticillatum | Phyteuma orbiculare | Ficaria verna | Galium verum | Gnaphalium uliginosum
Euphorbia helioscopia.jpg | Debnicko-Tyniecki obszar lakowy | Euphorbia helioscopia | Saponaria officinalis | Geranium palustre | Myosotis arvensis | Geranium palustre
Euphorbia palustris.jpg | Debnicko-Tyniecki obszar lakowy | Euphorbia palustris | Euphorbia helioscopia | Betula pendula | Veronica scutellata | Falcaria vulgaris
Euphorbia esula.jpg | Debnicko-Tyniecki obszar lakowy | Euphorbia esula | Cirsium canum | Carex panicea | Galinsoga parviflora | Prunus serotina
Callitriche cophocarpa.jpg | Debnicko-Tyniecki obszar lakowy | Callitriche cophocarpa | Scirpus sylvaticus | Acorus calamus | Sagina nodosa | Viola canina
Caltha palustris.jpg | Debnicko-Tyniecki obszar lakowy | Caltha palustris | Tragopogon pratensis | Ornithogalum umbellatum | Succisa pratensis | Lotus corniculatus
Anemone nemorosa.jpg | Debnicko-Tyniecki obszar lakowy | Anemone nemorosa | Rumex hydrolapathum | Ranunculus repens | Typha angustifolia | Deschampsia caespitosa
Ranunculus lingua.jpg | Debnicko-Tyniecki obszar lakowy | Ranunculus lingua | Erigeron canadensis | Aegopodium podagraria | Populus nigra | Hieracium umbellatum
Ranunculus flammula.jpg | Debnicko-Tyniecki obszar lakowy | Ranunculus flammula | Galium uliginosum | Carex hartmanii | Pedicularis palustris | Geum urbanum
Ranunculus sceleratus.jpg | Debnicko-Tyniecki obszar lakowy | Ranunculus sceleratus | Schoenoplectus lacustris | Rumex obtusifolius | Salix aurita | Cuscuta europaea
Ranunculus repens.jpg | Debnicko-Tyniecki obszar lakowy | Ranunculus repens | Primula elatior | Prunus serotina | Salix caprea | Populus tremula
Ranunculus auricomus.jpg | Debnicko-Tyniecki obszar lakowy | Ranunculus auricomus | Poa palustris | Geranium pusillum | Tussilago farfara | Salvia pratensis
Ranunculus acris.jpg | Debnicko-Tyniecki obszar lakowy | Ranunculus acris | Acer pseudoplatanus | Carex hirta | Peucedanum oreoselinum | Alchemilla glabra
Ranunculus polyanthemos.jpg | Debnicko-Tyniecki obszar lakowy | Ranunculus polyanthemos | Acorus calamus | Veratrum album | Helianthus tuberosus | Allium oleraceum
Ficaria verna.jpg | Debnicko-Tyniecki obszar lakowy | Ficaria verna | Mentha aquatica | Heracleum sphondylium | Alopecurus pratensis | Scutellaria galericulata
Thalictrum minus.jpg | Debnicko-Tyniecki obszar lakowy | Thalictrum minus | Achillea millefolium | Rubus idaeus | Ranunculus lingua | Trifolium hybridum
Thalictrum lucidum.jpg | Debnicko-Tyniecki obszar lakowy | Thalictrum lucidum | Vaccinium myrtillus | Papaver rhoeas | Anthyllis vulneraria | Phleum pratense
Papaver rhoeas.jpg | Debnicko-Tyniecki obszar lakowy | Papaver rhoeas | Lemna minor | Cuscuta europaea | Urtica dioica | Epilobium palustre
Barbarea vulgaris.jpg | Debnicko-Tyniecki obszar lakowy | Barbarea vulgaris | Lamium album | Ranunculus flammula | Trifolium repens | Knautia arvensis
Camelina microcarpa.jpg | Debnicko-Tyniecki obszar lakowy | Camelina microcarpa | Vicia sepium | Fraxinus excelsior | Gagea pratensis | Rhinanthus minor
Cardamine amara.jpg | Debnicko-Tyniecki obszar lakowy | Cardamine amara | Oenanthe fistulosa | Alnus glutinosa | Dianthus carthusianorum | Allium vineale
Cardamine pratensis.jpg | Debnicko-Tyniecki obszar lakowy | Cardamine pratensis | Picea abies | Carpinus betulus | Juncus bufonius | Pedicularis palustris
Erophila verna.jpg | Debnicko-Tyniecki obszar lakowy | Erophila verna | Anthyllis vulneraria | Ranunculus repens | Lapsana communis | Vicia cracca
Erysimum cheiranthoides.jpg | Debnicko-Tyniecki obszar lakowy | Erysimum cheiranthoides | Scirpus radicans | Melilotus albus | Cyperus fuscus | Thlaspi arvense
Raphanus raphanistrum.jpg | Debnicko-Tyniecki obszar lakowy | Raphanus raphanistrum | Fraxinus excelsior | Laserpitium prutenicum | Potentilla erecta | Erigeron canadensis
Rorippa amphibia.jpg | Debnicko-Tyniecki obszar lakowy | Rorippa amphibia | Geranium pusillum | Sedum maximum | Crepis biennis | Pimpinella major
Rorippa austriaca.jpg | Debnicko-Tyniecki obszar lakowy | Rorippa austriaca | Camelina microcarpa | Crataegus monogyna | Eriophorum latifolium | Impatiens parviflora
Rorippa palustris.jpg | Debnicko-Tyniecki obszar lakowy | Rorippa palustris | Bellis perennis | Phalaris arundinacea | Cyperus flavescens | Lamium purpureum
Rorippa sylvestris.jpg | Debnicko-Tyniecki obszar lakowy | Rorippa sylvestris | Salvia pratensis | Lapsana communis | Pimpinella major | Vicia cracca
Sinapis arvensis.jpg | Debnicko-Tyniecki obszar lakowy | Sinapis arvensis | Phragmites australis | Trifolium medium | Leonurus cardiaca | Carpinus betulus
Thlaspi arvense.jpg | Debnicko-Tyniecki obszar lakowy | Thlaspi arvense | Cirsium palustre | Rubus idaeus | Crepis biennis | Cirsium canum
Helianthemum nummularium.jpg | Debnicko-Tyniecki obszar lakowy | Helianthemum nummularium | Parthenocissus quinquefolia | Poa annua | Erophila verna | Salix viminalis
Viola palustris.jpg | Debnicko-Tyniecki obszar lakowy | Viola palustris | Blysmus compressus | Epilobium palustre | Asperula cynanchica | Lemna gibba
Viola canina.jpg | Debnicko-Tyniecki obszar lakowy | Viola canina | Peucedanum palustre | Poa palustris | Ranunculus lingua | Polygonum aviculare
Viola arvensis.jpg | Debnicko-Tyniecki obszar lakowy | Viola arvensis | Solanum dulcamara | Taraxacum officinale | Solanum dulcamara | Agrostis stolonifera
Hypericum perforatum.jpg | Debnicko-Tyniecki obszar lakowy | Hypericum perforatum | Bidens tripartita | Carex pallescens | Carex elongata | Carex vulpina
Sedum maximum.jpg | Debnicko-Tyniecki obszar lakowy | Sedum maximum | Orobanche purpurea | Saponaria officinalis | Hypericum perforatum | Cirsium rivulare
Parnassia palustris.jpg | Debnicko-Tyniecki obszar lakowy | Parnassia palustris | Symphytum officinale | Carex hartmanii | Isolepis setacea | Filipendula ulmaria
Agrimonia eupatoria.jpg | Debnicko-Tyniecki obszar lakowy | Agrimonia eupatoria | Trollius europaeus | Salvia pratensis | Carduus acanthoides | Festuca rubra
Alchemilla glabra.jpg | Debnicko-Tyniecki obszar lakowy | Alchemilla glabra | Rorippa austriaca | Rubus plicatus | Geranium palustre | Urtica dioica
Comarum palustre.jpg | Debnicko-Tyniecki obszar lakowy | Comarum palustre | Potentilla erecta | Crepis mollis | Plantago major | Chenopodium strictum
Crataegus monogyna.jpg | Debnicko-Tyniecki obszar lakowy | Crataegus monogyna | Phleum pratense | Viola arvensis | Vicia sepium | Ononis arvensis
Filipendula vulgaris.jpg | Debnicko-Tyniecki obszar lakowy | Filipendula vulgaris | Thymus pulegioides | Trifolium arvense | Betula pendula | Nardus stricta
Filipendula ulmaria.jpg | Debnicko-Tyniecki obszar lakowy | Filipendula ulmaria | Daucus carota | Cirsium arvense | Verbascum nigrum | Scorzonera humilis
Fragaria viridis.jpg | Debnicko-Tyniecki obszar lakowy | Fragaria viridis | Genista tinctoria | Phalaris arundinacea | Chenopodium strictum | Campanula rapunculoides
Geum rivale.jpg | Debnicko-Tyniecki obszar lakowy | Geum rivale | Aegopodium podagraria | Sedum maximum | Lysimachia nummularia | Laserpitium prutenicum
Geum urbanum.jpg | Debnicko-Tyniecki obszar lakowy | Geum urbanum | Anthoxanthum odoratum | Aegopodium podagraria | Mentha aquatica | Stellaria media
Potentilla erecta.jpg | Debnicko-Tyniecki obszar lakowy | Potentilla erecta | Lathyrus palustris | Ficaria verna | Lolium perenne | Oenothera biennis
Potentilla reptans.jpg | Debnicko-Tyniecki obszar lakowy | Potentilla reptans | Campanula rapunculoides | Phragmites australis | Erodium cicutarium | Hypericum perforatum
Prunus serotina.jpg | Debnicko-Tyniecki obszar lakowy | Prunus serotina | Veronica spicata | Phyteuma orbiculare | Galeopsis tetrahit | Eriophorum latifolium
Prunus spinosa.jpg | Debnicko-Tyniecki obszar lakowy | Prunus spinosa | Carex hostiana | Melilotus officinalis | Chenopodium strictum | Carex acutiformis
Rubus idaeus.jpg | Debnicko-Tyniecki obszar lakowy | Rubus idaeus | Geum rivale | Alnus incana | Valeriana sambucifolia | Galium boreale
Rubus plicatus.jpg | Debnicko-Tyniecki obszar lakowy | Rubus plicatus | Trifolium hybridum | Oenothera biennis | Festuca ovina | Scutellaria galericulata
Sorbus aucuparia.jpg | Debnicko-Tyniecki obszar lakowy | Sorbus aucuparia | Lathyrus pratensis | Sanguisorba officinalis | Ranunculus repens | Thlaspi arvense
Anthyllis vulneraria.jpg | Debnicko-Tyniecki obszar lakowy | Anthyllis vulneraria | Rumex acetosella | Centaurea cyanus | Viola canina | Ranunculus polyanthemos
Genista tinctoria.jpg | Debnicko-Tyniecki obszar lakowy | Genista tinctoria | Primula elatior | Vicia sepium | Achillea millefolium | Taraxacum officinale
Lathyrus palustris.jpg | Debnicko-Tyniecki obszar lakowy | Lathyrus palustris | Cyperus flavescens | Tussilago farfara | Equisetum arvense | Oxalis stricta
Lathyrus pratensis.jpg | Debnicko-Tyniecki obszar lakowy | Lathyrus pratensis | Ranunculus acris | Cynosurus cristatus | Larix decidua | Centaurea jacea
Lathyrus tuberosus.jpg | Debnicko-Tyniecki obszar lakowy | Lathyrus tuberosus | Trifolium repens | Salix viminalis | Illecebrum verticillatum | Salix aurita
Lotus corniculatus.jpg | Debnicko-Tyniecki obszar lakowy | Lotus corniculatus | Fraxinus excelsior | Alchemilla glabra | Cuscuta epithymum | Achillea millefolium
Medicago falcata.jpg | Debnicko-Tyniecki obszar lakowy | Medicago falcata | Trifolium hybridum | Carex pulicaris | Solanum dulcamara | Poa palustris
Medicago sativa.jpg | Debnicko-Tyniecki obszar lakowy | Medicago sativa | Larix decidua | Valeriana dioica | Blysmus compressus | Anthemis arvensis
Melilotus albus.jpg | Debnicko-Tyniecki obszar lakowy | Melilotus albus | Viola palustris | Lathyrus pratensis | Phragmites australis | Artemisia vulgaris
Melilotus officinalis.jpg | Debnicko-Tyniecki obszar lakowy | Melilotus officinalis | Mentha arvensis | Centaurea scabiosa | Cirsium arvense | Trollius europaeus
Ononis arvensis.jpg | Debnicko-Tyniecki obszar lakowy | Ononis arvensis | Quercus rubra | Stellaria palustris | Viola palustris | Helianthemum nummularium
Trifolium arvense.jpg | Debnicko-Tyniecki obszar lakowy | Trifolium arvense | Lolium perenne | Oenothera biennis | Euonymus europaeus | Leonurus cardiaca
Trifolium hybridum.jpg | Debnicko-Tyniecki obszar lakowy | Trifolium hybridum | Ononis arvensis | Solanum dulcamara | Carex hostiana | Frangula alnus
Trifolium medium.jpg | Debnicko-Tyniecki obszar lakowy | Trifolium medium | Papaver rhoeas | Leonurus cardiaca | Salvia verticillata | Briza media
Trifolium montanum.jpg | Debnicko-Tyniecki obszar lakowy | Trifolium montanum | Chenopodium strictum | Cerastium arvense | Plantago lanceolata | Helianthemum nummularium
Trifolium repens.jpg | Debnicko-Tyniecki obszar lakowy | Trifolium repens | Genista tinctoria | Lysimachia vulgaris | Torilis japonica | Quercus robur
Vicia cracca.jpg | Debnicko-Tyniecki obszar lakowy | Vicia cracca | Carex elongata | Pinus sylvestris | Frangula alnus | Campanula rapunculoides
Vicia grandiflora.jpg | Debnicko-Tyniecki obszar lakowy | Vicia grandiflora | Trisetum flavescens | Salvia verticillata | Cirsium oleraceum | Rumex obtusifolius
Vicia sepium.jpg | Debnicko-Tyniecki obszar lakowy | Vicia sepium | Galium verum | Poa annua | Lathyrus pratensis | Potentilla erecta
Lythrum salicaria.jpg | Debnicko-Tyniecki obszar lakowy | Lythrum salicaria | Salvia pratensis | Galium uliginosum | Lemna minor | Iris sibirica
Epilobium hirsutum.jpg | Debnicko-Tyniecki obszar lakowy | Epilobium hirsutum | Ranunculus lingua | Papaver rhoeas | Cyperus fuscus | Inula britannica
Epilobium parviflorum.jpg | Debnicko-Tyniecki obszar lakowy | Epilobium parviflorum | Rorippa austriaca | Pimpinella saxifraga | Taraxacum officinale | Veronica persica
Epilobium palustre.jpg | Debnicko-Tyniecki obszar lakowy | Epilobium palustre | Salix aurita | Allium angulosum | Euphrasia rostkoviana | Geum urbanum
Oenothera biennis.jpg | Debnicko-Tyniecki obszar lakowy | Oenothera biennis | Impatiens glandulifera | Allium oleraceum | Peucedanum oreoselinum | Lapsana communis
Linum catharticum.jpg | Debnicko-Tyniecki obszar lakowy | Linum catharticum | Lysimachia thyrsiflora | Dactylorhiza majalis | Carex buxbaumii | Laserpitium prutenicum
Oxalis stricta.jpg | Debnicko-Tyniecki obszar lakowy | Oxalis stricta | Hieracium pilosella | Juncus inflexus | Ornithogalum umbellatum | Cirsium canum
Geranium pratense.jpg | Debnicko-Tyniecki obszar lakowy | Geranium pratense | Cirsium arvense | Gentiana pneumonanthe | Ballota nigra | Torilis japonica
Geranium palustre.jpg | Debnicko-Tyniecki obszar lakowy | Geranium palustre | Galium palustre | Carduus acanthoides | Medicago sativa | Anemone nemorosa
Geranium pusillum.jpg | Debnicko-Tyniecki obszar lakowy | Geranium pusillum | Alnus glutinosa | Alnus incana | Valeriana dioica | Allium angulosum
Erodium cicutarium.jpg | Debnicko-Tyniecki obszar lakowy | Erodium cicutarium | Iris sibirica | Crataegus monogyna | Scirpus radicans | Salvia pratensis
Impatiens parviflora.jpg | Debnicko-Tyniecki obszar lakowy | Impatiens parviflora | Alisma plantago-aquatica | Briza media | Gentiana pneumonanthe | Hieracium pilosella
Impatiens glandulifera.jpg | Debnicko-Tyniecki obszar lakowy | Impatiens glandulifera | Blysmus compressus | Polygonum aviculare | Campanula rapunculoides | Geranium pratense
Euonymus europaeus.jpg | Debnicko-Tyniecki obszar lakowy | Euonymus europaeus | Lemna minor | Lemna gibba | Potentilla erecta | Salix cinerea
Frangula alnus.jpg | Debnicko-Tyniecki obszar lakowy | Frangula alnus | Agrostis stolonifera | Sagina nodosa | Deschampsia caespitosa | Salix fragilis
Parthenocissus quinquefolia.jpg | Debnicko-Tyniecki obszar lakowy | Parthenocissus quinquefolia | Equisetum arvense | Rorippa sylvestris | Stellaria palustris | Equisetum palustre
Sium latifolium.jpg | Debnicko-Tyniecki obszar lakowy | Sium latifolium | Ranunculus acris | Sambucus nigra | Orobanche purpurea | Festuca ovina
Falcaria vulgaris.jpg | Debnicko-Tyniecki obszar lakowy | Falcaria vulgaris | Viola arvensis | Carex pallescens | Medicago falcata | Filipendula ulmaria
Aegopodium podagraria.jpg | Debnicko-Tyniecki obszar lakowy | Aegopodium podagraria | Pedicularis palustris | Carex hartmanii | Larix decidua | Centaurea jacea
Pimpinella major.jpg | Debnicko-Tyniecki obszar lakowy | Pimpinella major | Symphytum officinale | Arenaria serpyllifolia | Mentha longifolia | Calystegia sepium
Pimpinella saxifraga.jpg | Debnicko-Tyniecki obszar lakowy | Pimpinella saxifraga | Ranunculus sceleratus | Euphorbia helioscopia | Picea abies | Rorippa austriaca
Oenanthe fistulosa.jpg | Debnicko-Tyniecki obszar lakowy | Oenanthe fistulosa | Oenanthe fistulosa | Filipendula ulmaria | Taraxacum officinale | Alchemilla glabra
Silaum silaus.jpg | Debnicko-Tyniecki obszar lakowy | Silaum silaus | Erodium cicutarium | Juncus inflexus | Scirpus radicans | Cardamine amara
Heracleum sphondylium.jpg | Debnicko-Tyniecki obszar lakowy | Heracleum sphondylium | Quercus robur | Luzula campestris | Calluna vulgaris | Salix purpurea
Peucedanum palustre.jpg | Debnicko-Tyniecki obszar lakowy | Peucedanum palustre | Rumex hydrolapathum | Pinguicula vulgaris | Festuca rubra | Bellis perennis
Peucedanum oreoselinum.jpg | Debnicko-Tyniecki obszar lakowy | Peucedanum oreoselinum | Calystegia sepium | Lysimachia nummularia | Leontodon hispidus | Geum urbanum
Pastinaca sativa.jpg | Debnicko-Tyniecki obszar lakowy | Pastinaca sativa | Cuscuta epithymum | Lysimachia vulgaris | Valeriana sambucifolia | Oenothera biennis
Daucus carota.jpg | Debnicko-Tyniecki obszar lakowy | Daucus carota | Agrostis stolonifera | Equisetum arvense | Agrimonia eupatoria | Acer platanoides
Torilis japonica.jpg | Debnicko-Tyniecki obszar lakowy | Torilis japonica | Calystegia sepium | Rhinanthus minor | Centaurea scabiosa | Epilobium hirsutum
Laserpitium prutenicum.jpg | Debnicko-Tyniecki obszar lakowy | Laserpitium prutenicum | Calystegia sepium | Nardus stricta | Galinsoga parviflora | Lathyrus palustris
Primula elatior.jpg | Debnicko-Tyniecki obszar lakowy | Primula elatior | Prunus serotina | Dactylorhiza maculata | Allium vineale | Filipendula vulgaris
Lysimachia nummularia.jpg | Debnicko-Tyniecki obszar lakowy | Lysimachia nummularia | Carpinus betulus | Carex elongata | Veronica spicata | Alchemilla glabra
Lysimachia vulgaris.jpg | Debnicko-Tyniecki obszar lakowy | Lysimachia vulgaris | Cardamine amara | Linaria vulgaris | Gentiana pneumonanthe | Helianthus tuberosus
Lysimachia thyrsiflora.jpg | Debnicko-Tyniecki obszar lakowy | Lysimachia thyrsiflora | Acorus calamus | Vicia sepium | Pedicularis sylvatica | Galium palustre
Vaccinium myrtillus.jpg | Debnicko-Tyniecki obszar lakowy | Vaccinium myrtillus | Crepis biennis | Frangula alnus | Holcus lanatus | Erigeron ramosus
Andromeda polifolia.jpg | Debnicko-Tyniecki obszar lakowy | Andromeda polifolia | Crepis mollis | Scutellaria galericulata | Stellaria media | Allium angulosum
Calluna vulgaris.jpg | Debnicko-Tyniecki obszar lakowy | Calluna vulgaris | Erophila verna | Symphytum officinale | Rumex acetosella | Epilobium parviflorum
Convolvulus arvensis.jpg | Debnicko-Tyniecki obszar lakowy | Convolvulus arvensis | Salix purpurea | Inula salicina | Prunella grandiflora | Lotus corniculatus
Calystegia sepium.jpg | Debnicko-Tyniecki obszar lakowy | Calystegia sepium | Vicia cracca | Peucedanum oreoselinum | Anthyllis vulneraria | Vicia cracca
Cuscuta europaea.jpg | Debnicko-Tyniecki obszar lakowy | Cuscuta europaea | Gentiana pneumonanthe | Equisetum palustre | Saponaria officinalis | Lemna gibba
Cuscuta epithymum.jpg | Debnicko-Tyniecki obszar lakowy | Cuscuta epithymum | Agrimonia eupatoria | Anthoxanthum odoratum | Bidens tripartita | Chenopodium album
Symphytum officinale.jpg | Debnicko-Tyniecki obszar lakowy | Symphytum officinale | Sanguisorba officinalis | Lolium perenne | Anthyllis vulneraria | Euphorbia palustris
Myosotis arvensis.jpg | Debnicko-Tyniecki obszar lakowy | Myosotis arvensis | Plantago lanceolata | Scorzonera humilis | Juncus conglomeratus | Stellaria graminea
Solanum dulcamara.jpg | Debnicko-Tyniecki obszar lakowy | Solanum dulcamara | Pinguicula vulgaris | Poa annua | Ornithogalum umbellatum | Sorbus aucuparia
Verbascum nigrum.jpg | Debnicko-Tyniecki obszar lakowy | Verbascum nigrum | Galeopsis tetrahit | Gladiolus imbricatus | Arctium lappa | Poa palustris
Linaria vulgaris.jpg | Debnicko-Tyniecki obszar lakowy | Linaria vulgaris | Carex pulicaris | Knautia arvensis | Carex leporina | Lemna gibba
Veronica scutellata.jpg | Debnicko-Tyniecki obszar lakowy | Veronica scutellata | Cyperus fuscus | Rorippa sylvestris | Ranunculus lingua | Trifolium medium
